Date,StatusKey,Code,StatusKey
2022-10-17,at lunch,ATL Ops Sup 5,15
2022-10-17,at lunch,ATL Ops Sup 6,14
2022-10-17,at lunch,ATL Ops Sup 7,14
2022-10-17,coaching,ATL Ops Sup 5,1
2022-10-17,escalation wait,ATL Ops Sup 5,13
2022-10-17,escalation wait,ATL Ops Sup 6,18
2022-10-17,escalation wait,ATL Ops Sup 7,21
2022-10-17,follow up,ATL Ops Sup 5,185
2022-10-17,follow up,ATL Ops Sup 6,185
2022-10-17,follow up,ATL Ops Sup 7,160
2022-10-17,in a meeting,ATL Ops Sup 6,1
2022-10-17,in a meeting,ATL Ops Sup 7,1
2022-10-17,on call,ATL Ops Sup 5,259
2022-10-17,on call,ATL Ops Sup 6,248
2022-10-17,on call,ATL Ops Sup 7,259
2022-10-17,personal break,ATL Ops Sup 5,4
2022-10-17,personal break,ATL Ops Sup 6,7
2022-10-17,personal break,ATL Ops Sup 7,7
2022-10-17,scheduled break,ATL Ops Sup 5,26
2022-10-17,scheduled break,ATL Ops Sup 6,24
2022-10-17,scheduled break,ATL Ops Sup 7,33
2022-10-17,special assignment,ATL Ops Sup 6,1
2022-10-17,system issues,ATL Ops Sup 5,1
2022-10-17,system issues,ATL Ops Sup 7,1
2022-10-17,tc issues,ATL Ops Sup 5,26
2022-10-17,tc issues,ATL Ops Sup 6,13
2022-10-17,tc issues,ATL Ops Sup 7,9
2022-10-18,acw,ATL Ops Sup 5,199
2022-10-18,acw,ATL Ops Sup 6,250
2022-10-18,acw,ATL Ops Sup 7,283
2022-10-18,at a training session,ATL Ops Sup 5,1
2022-10-18,at a training session,ATL Ops Sup 7,2
2022-10-18,at lunch,ATL Ops Sup 5,19
2022-10-18,at lunch,ATL Ops Sup 6,13
2022-10-18,at lunch,ATL Ops Sup 7,24
2022-10-18,escalation wait,ATL Ops Sup 5,15
2022-10-18,escalation wait,ATL Ops Sup 6,12
2022-10-18,escalation wait,ATL Ops Sup 7,15
2022-10-18,follow up,ATL Ops Sup 5,166
2022-10-18,follow up,ATL Ops Sup 6,188
2022-10-18,follow up,ATL Ops Sup 7,215
2022-10-18,in a meeting,ATL Ops Sup 7,3
2022-10-18,on call,ATL Ops Sup 5,229
2022-10-18,on call,ATL Ops Sup 6,254
2022-10-18,on call,ATL Ops Sup 7,307
2022-10-18,personal break,ATL Ops Sup 5,8
2022-10-18,personal break,ATL Ops Sup 6,19
2022-10-18,personal break,ATL Ops Sup 7,10
2022-10-18,scheduled break,ATL Ops Sup 5,32
2022-10-18,scheduled break,ATL Ops Sup 6,31
2022-10-18,scheduled break,ATL Ops Sup 7,35
2022-10-18,special assignment,ATL Ops Sup 5,1
2022-10-18,special assignment,ATL Ops Sup 6,1
2022-10-18,system issues,ATL Ops Sup 5,4
2022-10-18,system issues,ATL Ops Sup 7,4
2022-10-18,tc issues,ATL Ops Sup 5,26
2022-10-18,tc issues,ATL Ops Sup 6,7
2022-10-18,tc issues,ATL Ops Sup 7,11
2022-10-19,acw,ATL Ops Sup 5,223
2022-10-19,acw,ATL Ops Sup 6,236
2022-10-19,acw,ATL Ops Sup 7,261
2022-10-19,at a training session,ATL Ops Sup 5,7
2022-10-19,at a training session,ATL Ops Sup 6,1
2022-10-19,at a training session,ATL Ops Sup 7,4
2022-10-19,at lunch,ATL Ops Sup 5,24
2022-10-19,at lunch,ATL Ops Sup 6,13
2022-10-19,at lunch,ATL Ops Sup 7,19
2022-10-19,coaching,ATL Ops Sup 6,1
2022-10-19,escalation wait,ATL Ops Sup 5,16
2022-10-19,escalation wait,ATL Ops Sup 6,17
2022-10-19,escalation wait,ATL Ops Sup 7,15
2022-10-19,follow up,ATL Ops Sup 5,170
2022-10-19,follow up,ATL Ops Sup 6,168
2022-10-19,follow up,ATL Ops Sup 7,191
2022-10-19,in a meeting,ATL Ops Sup 5,1
2022-10-19,in a meeting,ATL Ops Sup 6,3
2022-10-19,in a meeting,ATL Ops Sup 7,1
2022-10-19,on call,ATL Ops Sup 5,235
2022-10-19,on call,ATL Ops Sup 6,228
2022-10-19,on call,ATL Ops Sup 7,287
2022-10-19,personal break,ATL Ops Sup 5,7
2022-10-19,personal break,ATL Ops Sup 6,6
2022-10-19,personal break,ATL Ops Sup 7,9
2022-10-19,scheduled break,ATL Ops Sup 5,34
2022-10-19,scheduled break,ATL Ops Sup 6,27
2022-10-19,scheduled break,ATL Ops Sup 7,34
2022-10-19,special assignment,ATL Ops Sup 5,8
2022-10-19,special assignment,ATL Ops Sup 6,6
2022-10-19,system issues,ATL Ops Sup 7,1
